record_id,site,observation_date,collection_window,source_sheet,seconds_elapsed,speed_mps,walking_direction,distance_m,in_group,using_phone,texting,calling,holding_phone,gender_recorded,overtaken,overtakes,phone_follower,phone_follower_2,phone_follower_3,text_follower,group_follower
city_road_151,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.999999999998835,1.3846153846155087,towards,18,Y,Y,Y,N,Y,F,,,N,Y,Y,,
city_road_152,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.999999999998835,1.3846153846155087,towards,18,Y,N,N,N,N,F,,,Y,Y,N,,
city_road_153,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,21.000000000003283,1.1428571428569643,away,24,N,N,N,N,N,F,,,,N,,,
city_road_154,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,11.000000000004917,1.6363636363629048,towards,18,N,N,N,N,N,F,,,Y,N,Y,,
city_road_155,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.000000000006324,0.8999999999997155,towards,18,Y,N,N,N,N,F,,,Y,Y,Y,,
city_road_156,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,20.999999999998487,0.8571428571429189,towards,18,N,N,N,N,N,M,,,Y,N,N,,
city_road_157,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,16.0000000000041,1.1249999999997118,towards,18,Y,N,N,N,N,F,,,Y,Y,N,,
city_road_158,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,23.000000000001997,1.0434782608694746,away,24,N,Y,Y,N,Y,F,,,,N,,,
city_road_159,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,22.000000000005038,1.090909090908841,away,24,N,N,N,N,Y,M,,,,N,,,
city_road_160,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,N,Y,Y,N,Y,M,,,,N,,,
city_road_161,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,12.000000000001876,1.4999999999997655,towards,18,N,Y,Y,N,Y,M,,,N,N,N,,
city_road_162,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.999999999998018,1.3333333333334803,away,24,N,N,N,N,Y,M,,,,N,,,
city_road_163,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.999999999998018,1.3333333333334803,away,24,Y,N,N,N,N,F,,,,N,,,
city_road_164,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.999999999999773,1.2631578947368571,away,24,Y,N,N,N,N,F,,,,N,,,
city_road_165,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,22.000000000005038,0.8181818181816308,towards,18,N,N,N,N,N,M,,168 and 170,Y,N,N,,
city_road_166,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,18.000000000002814,0.9999999999998437,towards,18,N,Y,Y,N,Y,F,,168 and 170,N,N,N,,
city_road_167,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,22.00000000000024,0.8181818181818092,towards,18,Y,N,N,N,N,F,Y,,Y,N,N,,
city_road_168,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,17.000000000005855,1.4117647058818668,away,24,N,N,N,N,N,M,,,,N,,,
city_road_169,"City Road Bridge, University of Sydney",2018-04-24,11:24-12:34,Raw data,15.000000000002345,1.1999999999998123,towards,18,Y,N,N,N,N,M,Y,,Y,N,N,,
